trial,reward,learning_rate,n_steps,gamma,ent_coef
0,12.055671960115433,0.00031619854104756006,9,0.8552082734035797,0.010095250170576551
1,12.058353831370672,0.0008585798635211141,16,0.8416222975782588,0.04730753291935301
2,12.054377257823944,0.00026352280802347433,15,0.8943730023705027,0.03652415053194459
3,12.355555648605028,0.00043981433720397016,16,0.8596936730101397,0.013759852734433762
4,11.14456090827783,7.860348291204387e-05,12,0.9750474768451018,0.0470124219267824
5,11.488888988892237,0.0008152994858652844,12,0.9723159403717183,0.041014753031927274
6,14.933333456516266,0.00024259915542925668,18,0.9035217845777832,0.023742673835378744
7,13.266666774948439,2.836340044431199e-05,8,0.831386398022249,0.027581929505615055
8,14.933333456516266,0.00031029493253576467,5,0.8038069339411108,0.01570842773478711
9,13.019420524438223,2.598317445662368e-05,9,0.9808077823025846,0.029234331369760377
10,13.266666774948439,8.629500255178063e-05,20,0.9179389285884503,0.00042720269949603207
11,12.054463585217794,0.00018251008288300852,20,0.8028868242886675,0.018545490624080056
12,12.058353831370672,0.00013801394713597393,5,0.9183341137029887,0.02027690547509837
13,12.056966662406921,5.358586707202934e-05,5,0.8888742646084363,0.006199585289325982
14,9.933333411812782,1.1169898397479659e-05,14,0.936229900170052,0.020424408986189954
15,14.155555655558905,0.0004886618971886223,18,0.8771272718736105,0.028726896086392062
16,11.355551888545355,0.00018844264474648223,7,0.8006510125373926,0.03346914050059788
17,13.266666774948439,0.00047795209362085534,11,0.9494180819795848,0.014781593807775559
18,12.059768458207449,0.00012542120337177143,18,0.8232483783265612,0.021806946761521732
19,12.055671960115433,0.0002752496671398728,10,0.8666863935344735,0.006848038148507773
