trial,reward,learning_rate,n_steps,gamma,ent_coef
0,14.933333456516266,1.0129506602030797e-05,8,0.9292861466230347,0.012323714527564878
1,14.933333456516266,4.172045057826124e-05,14,0.8436878746425118,0.017572714497684182
2,14.933333456516266,0.0004916623841807556,17,0.9014848645413774,0.03841637766138705
3,14.933333456516266,1.5127457152062017e-05,20,0.8231589053942931,0.049601252079431606
4,13.954141040643057,0.00013063264223432653,5,0.8406898850427703,0.041405676136432694
5,14.933333456516266,0.00016396227245556413,11,0.9154386148289114,0.049551911782707944
6,11.127702419956526,0.0007468602650606945,19,0.9708960295144944,0.012966562290208927
7,14.933333456516266,1.6824798763643173e-05,18,0.8120502840547071,0.011961252375235418
8,11.972146819035212,2.0229155356544092e-05,5,0.8871099681830238,0.0007127224802177848
9,14.933333456516266,0.0007762063981400333,10,0.9734427498019209,0.008474530737632064
10,11.129089593887329,5.2982752622585424e-05,8,0.9334821096428348,0.02462414326789371
11,14.933333456516266,4.521994563993265e-05,14,0.8664382565378318,0.02263364623171666
12,14.933333456516266,1.0143543954564447e-05,14,0.9327874290326809,0.018601578079261313
13,12.0625219643116,4.578084007797648e-05,8,0.8547064362971626,0.0015843855925609489
14,14.933333456516266,2.7758965308327708e-05,15,0.8750698993605585,0.015033902009844283
15,14.933333456516266,0.0002761665473064227,12,0.9447061889545664,0.028105939441134042
16,15.00000011920929,6.885998346583947e-05,9,0.8437218350588245,0.029656313979457935
17,11.12631524602572,8.623301720520463e-05,8,0.9535204974758269,0.031928336221573206
18,12.05964853366216,0.000250851086558513,9,0.9906092883155919,0.03214731483304342
19,12.05964853366216,8.297851406445995e-05,6,0.8030272016584177,0.006686906545211944
