trial,reward,learning_rate,buffer_size,batch_size,gamma,train_freq,target_update_interval
0,12.05826136469841,1.7456831657008942e-05,42255,128,0.7740751715663193,3,458
1,11.127702419956526,1.5129809499513408e-05,47456,256,0.7040558571465203,5,464
2,10.155445198218027,1.802700855435901e-05,47402,64,0.8783638427369187,1,278
3,11.670914952953657,0.00019879728032954816,41816,128,0.9613306384329651,3,388
4,12.582600692907969,0.0006658603456557864,45959,32,0.8547565767560149,4,134
5,11.457706476251284,9.667608370582914e-05,24297,32,0.9543895721630277,2,318
6,9.266662249962488,4.214235067742505e-05,46035,128,0.807783532876056,2,58
7,11.348537455002466,0.0001905885028515698,44915,32,0.9552473494396316,4,265
8,11.129188676675161,1.6930962135705432e-05,26596,64,0.8529642958236859,5,479
9,15.177777886390686,0.00017212185153428082,19217,64,0.7584734879841858,4,168
10,12.666660269101461,0.0009531224327739984,12223,64,0.7002756157265394,4,177
11,12.266658902168274,0.0007386065107936793,10685,64,0.7094885280232539,4,176
12,11.844442079464594,0.00032645633898432225,12301,64,0.7541001390985429,4,186
13,9.733322451512018,5.81409073365835e-05,19067,64,0.7491214201337101,5,96
14,11.244440406560898,0.00036954100599412027,17731,256,0.7943006073911607,3,214
15,12.644182602564493,0.0009410592035635015,35264,64,0.7336287693899511,4,135
16,14.088887413342794,0.00039306456171443787,17037,64,0.7970482358734088,3,235
17,11.133329540491104,0.00014854925416656092,19754,64,0.8156966954573298,2,345
18,14.911111215750376,0.00040596771964783327,32962,256,0.9056387659931867,1,239
19,12.244394689798355,0.00011162677480005669,33372,256,0.9096799606349716,1,378
