trial,reward,learning_rate,buffer_size,batch_size,gamma,train_freq,target_update_interval
0,9.10301544268926,4.011152839177127e-05,10459,64,0.9676226866437498,4,439
1,13.30830946067969,2.9692611404618573e-05,35460,256,0.7537900360178597,5,156
2,13.022222191095352,0.00018360199295354914,19457,32,0.7750645802256884,2,362
3,12.05826136469841,1.59069241592605e-05,36514,128,0.8381657616665998,3,292
4,12.062345946828524,1.656049233499413e-05,44574,256,0.7825359319326399,1,342
5,12.599995891253153,0.00010788588271825044,38717,64,0.7397684286040364,1,356
6,13.266666774948439,1.4444464114994594e-05,32080,128,0.8832014588670885,5,263
7,11.392981896797815,0.00019678803335407952,44180,32,0.8620227507496142,5,122
8,12.05964853366216,3.6585237554554366e-05,35883,32,0.9836309529826472,3,395
9,12.244349271059036,4.091522028697762e-05,21201,128,0.7149548615023192,3,479
10,12.68883920709292,0.0007466105958743373,49502,256,0.8087811990125521,4,56
11,11.12631524602572,1.0101977679287623e-05,28849,128,0.9025366679835679,5,183
12,11.127702419956526,2.4948461142356135e-05,29765,256,0.9009466253754891,5,208
13,11.863837510347366,6.820383112638455e-05,24073,128,0.9106017766011187,4,221
14,11.12502055366834,1.3375554442946375e-05,35293,256,0.8518541599747121,5,267
15,11.748537436127663,2.5026474497047892e-05,26997,128,0.7510832675840777,4,142
16,10.509446735183397,7.189557927457646e-05,33058,256,0.9360554354850239,5,72
17,14.622222284475962,0.00046960319871274973,41592,64,0.8216202966158356,2,273
18,11.86666307846705,0.0009647225539077783,41009,64,0.8132326467244735,2,142
19,11.866663157939911,0.0005051283159032686,47862,64,0.7056930949263345,2,303
