trial,reward,learning_rate,n_steps,batch_size,gamma,n_epochs
0,11.822202861309052,3.886505015952279e-05,1256,32,0.7509168731784979,17
1,11.60000009338061,1.1746220755685495e-05,1112,256,0.7418986389339427,8
2,12.266664246718088,0.0001033312437811775,1050,32,0.8130832800670718,16
3,15.00000011920929,0.0006841215559029495,1474,256,0.88110554142489,8
4,14.977777898311615,0.00018091439575452996,601,128,0.9309228714795694,16
5,13.266666774948439,0.00032019785567106285,1660,32,0.9111703774537946,5
6,10.066663046677908,0.00019874109432337818,1131,128,0.7337938381948258,5
7,15.133333444595337,0.0007898031535787161,1723,32,0.8976788405940974,12
8,11.177773962418238,0.0009426025017987968,373,32,0.7679152767982181,6
9,12.111108725269636,0.000148521438431469,323,32,0.7422334970280443,18
10,14.933333456516266,4.55889302257231e-05,2000,64,0.9678710455781696,12
11,15.00000011920929,0.0009055088845669047,1622,256,0.8747524723014876,11
12,13.199999988079071,0.0004429213295548396,1716,256,0.8400816974767477,9
13,14.95555567741394,0.0004810257582407106,2003,64,0.8708421623880552,10
14,15.066666781902313,0.0006128957763378642,1466,256,0.9152383574366532,14
15,14.933333456516266,0.0002952990970027812,866,256,0.9794349907209429,14
16,13.266666774948439,4.404051331767607e-05,1386,128,0.9376537823619766,20
17,11.999996483325958,0.0005296249612614688,1829,64,0.7949080667630615,14
18,14.933333456516266,8.148307849702151e-05,1457,32,0.9047439784003556,14
19,14.933333456516266,2.006561183077307e-05,839,256,0.8457214403288006,13
