trial,reward,learning_rate,n_steps,batch_size,gamma,n_epochs
0,14.933333456516266,1.7269626019903735e-05,385,256,0.9255659213877845,18
1,14.822222352027893,0.0003264652839975632,1821,64,0.9318202990526938,12
2,15.20000010728836,0.00021783737033594376,151,256,0.7867135213898531,10
3,14.933333456516266,1.0387554494658269e-05,2005,32,0.8771427359302517,17
4,10.844444473584494,9.17838764197662e-05,1088,32,0.7204499719004813,5
5,15.066666781902313,7.954830315925443e-05,781,128,0.9327353517284205,15
6,14.933333456516266,0.00013626582056832577,1999,128,0.7721726807179017,5
7,10.933329731225967,0.0004063555999188684,1205,64,0.7092410441074163,5
8,10.888881256182989,0.0002138051953342256,1923,128,0.7179379114115301,17
9,14.933333456516266,0.00011113855142724476,451,32,0.7011103017758382,5
10,11.444442063570023,0.0006610749004009439,683,256,0.8050555547749354,10
11,12.05964853366216,4.283661479560409e-05,177,128,0.9815557752159033,14
12,14.933333456516266,5.119305294840658e-05,754,256,0.8401626459245862,9
13,14.822222352027893,0.000927899369120847,1410,128,0.8848426211925772,14
14,14.933333456516266,4.8556765606342315e-05,65,256,0.7826531137472474,20
15,15.177777886390686,0.00019163816469396154,785,128,0.9875038687157585,8
16,14.933333456516266,0.00022404877694972875,1391,256,0.9758359003712901,8
17,15.111111223697662,0.0001888149967980313,477,64,0.8313052218084213,11
18,10.977773979306221,0.0004904869590713733,959,128,0.7546641678995248,8
19,15.133333444595337,0.0002782042872796824,216,256,0.8681096694816487,7
