trial,reward,learning_rate,n_steps,batch_size,gamma,n_epochs
0,15.20000010728836,0.0002597535775748999,445,64,0.9071779798029096,16
1,12.288886576890945,0.0002440644734555383,394,256,0.7447807403837884,14
2,15.111111223697662,0.0006255696592034653,647,128,0.9291237923444814,12
3,11.60000009338061,3.649711585220776e-05,1921,32,0.8959456570611208,18
4,14.933333456516266,5.3327956849567624e-05,2040,256,0.9816128333252916,13
5,14.933333456516266,5.68093201687534e-05,487,64,0.9703882068515759,13
6,11.60000009338061,1.3386350924283207e-05,2030,32,0.7281171190011774,12
7,13.266666774948439,2.5946256412327723e-05,1808,128,0.909483095352983,8
8,14.933333456516266,1.602436560946703e-05,1938,256,0.9165165258495908,6
9,12.06400822599729,0.00026338762157195554,113,256,0.9260892222797701,12
10,11.333332121372223,0.0001687721937117486,1160,64,0.8150641431383375,18
11,14.444444517294565,0.0008877171426253386,903,128,0.8527778284010215,16
12,11.555554380019506,0.0006657199710131784,962,128,0.8478612151514484,9
13,13.577777783075968,0.0005022113438390204,652,64,0.8759369839526702,16
14,12.599987188975016,0.0004038158943299181,1441,64,0.7964447140004716,20
15,12.06103570262591,0.00012248021645877655,105,128,0.9306297991416754,10
16,11.622222314278284,0.000348197198977245,696,64,0.9555685304244416,15
17,14.044444551070532,8.718500831387608e-05,410,128,0.8754172958697085,11
18,14.73333344856898,0.0008145859914325266,1255,32,0.9479046764448772,6
19,12.377775390942892,0.00017320646631781227,824,64,0.8010497987155742,17
